name, class, memory, x, y, z, roll, pitch, yaw
MFD_Box37,USARBot.WCCrate83774,Pallet1,-0.1266,0.7238,1.8387,0.0013,0.0015,-1.5794
MFD_Box38,USARBot.WCCrate83774,Pallet1,0.0019,0.7237,1.8391,0.0085,0.0009,-1.5758
MFD_Box39,USARBot.WCCrate83774,Pallet1,0.1201,0.7241,1.8391,-0.0023,0.0027,-1.5830
MFD_Box40,USARBot.WCCrate83774,Pallet1,0.2485,0.7230,1.8390,-0.0029,0.0017,-1.5829
MFD_Box41,USARBot.WCCrate109779,Pallet1,-0.4610,0.2862,1.8385,0.0009,0.0020,-1.5804
MFD_Box42,USARBot.WCCrate109779,Pallet1,-0.2774,0.2867,1.8385,-0.0005,0.0016,-1.5768
MFD_Box43,USARBot.WCCrate109779,Pallet1,-0.1013,0.2859,1.8386,0.0022,0.0018,-1.5805
MFD_Box44,USARBot.WCCrate83774,Pallet1,0.0476,0.2867,1.8385,-0.0018,0.0017,-1.5818
MFD_Box45,USARBot.WCCrate83774,Pallet1,0.1672,0.2867,1.8385,-0.0014,0.0022,-1.5800
MFD_Box47,USARBot.WCCrate83774,Pallet1,0.2863,0.2879,1.8387,0.0035,0.0028,-1.5874
MFD_Box49,USARBot.WCCrate122302,Pallet1,-0.4202,0.7077,1.7311,-0.0008,0.0005,-1.5802
MFD_Box50,USARBot.WCCrate122302,Pallet1,-0.1514,0.7093,1.7311,0.0018,0.0011,-1.5792
MFD_Box51,USARBot.WCCrate122302,Pallet1,0.1151,0.7087,1.7317,0.0004,0.0019,-1.5823
MFD_Box52,USARBot.WCCrate122302,Pallet1,-0.4189,0.3026,1.7310,0.0004,0.0015,-1.5800
MFD_Box53,USARBot.WCCrate122302,Pallet1,-0.1654,0.3012,1.7310,0.0014,0.0018,-1.5818
MFD_Box54,USARBot.WCCrate122302,Pallet1,0.0834,0.3026,1.7310,-0.0003,0.0020,-1.5821
MFD_Box55,USARBot.WCCrate16788,Pallet1,0.3479,0.7788,1.7313,0.0014,0.0024,-1.5770
MFD_Box58,USARBot.WCCrate16788,Pallet1,0.1120,0.8088,1.5399,-0.0024,0.0007,-3.1297
MFD_Box59,USARBot.WCCrate16788,Pallet1,0.1109,0.6263,1.5395,-0.0020,0.0004,-3.1317
